head,feat_q,feat_k,base,sft,delta_sft,abs_delta_sft
32,3131,3131,698303.4375,629047.625,-69255.8125,69255.8125
14,3131,3131,693818.3125,625123.25,-68695.0625,68695.0625
3,3131,3131,685046.9375,617104.8125,-67942.125,67942.125
4,3131,3131,680558.75,613193.6875,-67365.0625,67365.0625
34,3131,3131,676139.625,609268.875,-66870.75,66870.75
27,3131,3131,671683.75,605258.0625,-66425.6875,66425.6875
31,3131,3131,667371.8125,601240.8125,-66131.0,66131.0
7,3131,3131,649577.8125,585225.25,-64352.5625,64352.5625
20,3131,3131,636413.0,573283.0,-63130.0,63130.0
24,3131,3131,592151.1875,529546.0625,-62605.125,62605.125
23,3131,3131,627570.25,565404.125,-62166.125,62166.125
35,17587,17587,229256.40625,169666.078125,-59590.328125,59590.328125
1,3131,3131,601057.75,541475.1875,-59582.5625,59582.5625
16,3131,3131,596575.625,537480.25,-59095.375,59095.375
21,3131,3131,587755.125,529546.0625,-58209.0625,58209.0625
36,3131,3131,583272.4375,525425.3125,-57847.125,57847.125
30,3131,3131,574305.625,517466.8125,-56838.8125,56838.8125
2,3131,3131,570067.8125,513580.59375,-56487.21875,56487.21875
33,3131,3131,541473.125,487861.75,-53611.375,53611.375
18,17587,17587,199090.640625,147381.296875,-51709.34375,51709.34375
22,3131,3131,488419.5,440028.4375,-48391.0625,48391.0625
38,3131,3131,472906.8125,426045.59375,-46861.21875,46861.21875
35,3131,3131,455199.40625,410100.90625,-45098.5,45098.5
17,3131,3131,424317.71875,382227.25,-42090.46875,42090.46875
37,3131,3131,422031.8125,380192.0625,-41839.75,41839.75
39,17587,17587,151974.6875,112456.5546875,-39518.1328125,39518.1328125
15,3131,3131,369067.3125,332440.8125,-36626.5,36626.5
39,3131,3131,366824.8125,330482.25,-36342.5625,36342.5625
13,3131,3131,384526.59375,348455.0625,-36071.53125,36071.53125
30,17587,3131,208243.796875,174740.8125,-33502.984375,33502.984375
18,3131,3131,324788.90625,292612.625,-32176.28125,32176.28125
3,17587,3131,152856.734375,129181.4609375,-23675.2734375,23675.2734375
8,879,17587,90568.5703125,68242.21875,-22326.3515625,22326.3515625
8,17587,3131,141784.15625,119845.828125,-21938.328125,21938.328125
11,17587,3131,140988.484375,119181.0546875,-21807.4296875,21807.4296875
3,879,17587,88161.6484375,66441.734375,-21719.9140625,21719.9140625
8,3131,17587,83535.8046875,62299.15234375,-21236.65234375,21236.65234375
1,879,17587,85752.65625,64620.0546875,-21132.6015625,21132.6015625
11,879,17587,84553.65625,63717.7578125,-20835.8984375,20835.8984375
28,879,17587,80956.4921875,61005.390625,-19951.1015625,19951.1015625
1,879,3131,302921.875,283057.0625,-19864.8125,19864.8125
19,15269,3131,163551.03125,144844.0625,-18706.96875,18706.96875
28,17587,3131,115188.578125,97361.953125,-17826.625,17826.625
8,17587,19010,66892.125,49081.6953125,-17810.4296875,17810.4296875
3,17587,19010,65438.5546875,48017.453125,-17421.1015625,17421.1015625
2,879,17587,70174.296875,52881.45703125,-17292.83984375,17292.83984375
34,879,3131,254978.96875,238286.109375,-16692.859375,16692.859375
1,17587,3131,103361.34375,87370.40625,-15990.9375,15990.9375
5,879,3131,242593.625,226692.84375,-15900.78125,15900.78125
15,17587,3131,102614.5703125,86739.1328125,-15875.4375,15875.4375
11,3131,17587,58336.58203125,42518.296875,-15818.28515625,15818.28515625
28,3131,17587,60989.484375,45487.28125,-15502.203125,15502.203125
