direction,alpha,rank,feature,steered_mis%_mean,steered_mis%_std,baseline_mis%,Δmis%_mean,steered_coh,Δcoh,steered_align,Δalign
neg,2.0,18,17562,4.027777777777778,7.616127706030663,1.4285714285714286,2.599206349206349,48.75,-36.412499999999994,60.08,-25.848571428571432
pos,2.0,18,17562,0.0,0.0,0.0,0.0,45.675,-44.275000000000006,68.7875,-24.625
neg,1.5,14,4828,0.0,0.0,1.4285714285714286,-1.4285714285714286,49.8,-35.3625,63.544117647058826,-22.384453781512605
neg,1.5,26,8029,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,51.825,-33.33749999999999,64.5125,-21.416071428571428
pos,2.0,14,4828,0.0,0.0,0.0,0.0,46.675,-43.275000000000006,72.6,-20.8125
neg,1.5,21,11256,0.0,0.0,1.4285714285714286,-1.4285714285714286,49.525,-35.637499999999996,66.15189873417721,-19.77667269439422
neg,1.2,6,9051,6.388888888888889,9.980691235123157,1.4285714285714286,4.9603174603174605,61.975,-23.187499999999993,67.72602739726027,-18.202544031311163
neg,1.5,28,13664,2.5,4.330127018922194,1.4285714285714286,1.0714285714285714,52.3,-32.8625,68.33766233766234,-17.590909090909093
neg,1.5,24,12592,2.5,4.330127018922194,1.4285714285714286,1.0714285714285714,59.175,-25.987499999999997,68.55696202531645,-17.37160940325498
neg,2.0,19,4671,0.0,0.0,1.4285714285714286,-1.4285714285714286,48.5,-36.662499999999994,69.025,-16.903571428571425
pos,2.0,28,13664,0.0,0.0,0.0,0.0,54.1125,-35.837500000000006,77.65,-15.762499999999989
neg,1.5,22,2938,4.027777777777778,7.616127706030663,1.4285714285714286,2.599206349206349,59.0,-26.162499999999994,70.93589743589743,-14.992673992674
neg,1.2,14,4828,3.888888888888889,5.0307695211874535,1.4285714285714286,2.4603174603174605,60.7,-24.46249999999999,72.11267605633803,-13.815895372233399
neg,2.0,20,13228,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,57.525,-27.637499999999996,73.34177215189874,-12.586799276672693
neg,1.5,4,18720,3.3333333333333335,6.009252125773315,1.4285714285714286,1.9047619047619049,60.85,-24.312499999999993,74.58904109589041,-11.339530332681022
neg,1.5,27,9446,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,67.975,-17.1875,74.7875,-11.141071428571436
pos,1.5,21,11256,0.0,0.0,0.0,0.0,63.025,-26.925000000000004,82.53164556962025,-10.880854430379742
neg,1.5,16,19580,2.5,4.330127018922194,1.4285714285714286,1.0714285714285714,56.3125,-28.849999999999994,75.175,-10.753571428571433
neg,2.0,15,12357,0.0,0.0,1.4285714285714286,-1.4285714285714286,56.175,-28.987499999999997,75.32051282051282,-10.608058608058613
neg,2.0,7,16911,7.5,8.2915619758885,1.4285714285714286,6.071428571428571,73.4,-11.762499999999989,75.67088607594937,-10.257685352622062
neg,2.0,9,216,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,64.0875,-21.07499999999999,75.70886075949367,-10.219710669077756
neg,1.2,21,11256,6.071428571428571,9.496239857363094,1.4285714285714286,4.642857142857142,66.125,-19.037499999999994,76.32,-9.608571428571437
pos,2.0,4,18720,0.0,0.0,0.0,0.0,73.8875,-16.0625,84.125,-9.287499999999994
pos,2.0,21,11256,0.0,0.0,0.0,0.0,68.35,-21.60000000000001,84.1875,-9.224999999999994
pos,2.0,26,8029,0.0,0.0,0.0,0.0,73.0,-16.950000000000003,84.2625,-9.149999999999991
pos,2.0,27,9446,0.0,0.0,0.0,0.0,64.2125,-25.737499999999997,84.26582278481013,-9.146677215189868
neg,1.5,18,17562,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,73.8625,-11.299999999999997,77.21794871794872,-8.710622710622715
pos,2.0,24,12592,0.0,0.0,0.0,0.0,68.3375,-21.612499999999997,84.75,-8.662499999999994
neg,0.8,23,18923,4.583333333333334,7.982185025278341,1.4285714285714286,3.154761904761905,71.925,-13.237499999999997,79.37254901960785,-6.556022408963585
pos,1.5,14,4828,0.0,0.0,0.0,0.0,72.8,-17.150000000000006,86.97368421052632,-6.438815789473679
neg,1.2,24,12592,2.638888888888889,4.579122644954038,1.4285714285714286,1.2103174603174602,71.325,-13.837499999999991,79.63157894736842,-6.296992481203006
pos,1.2,21,11256,0.0,0.0,0.0,0.0,76.4875,-13.462500000000006,87.2948717948718,-6.117628205128199
neg,2.0,0,3131,0.0,0.0,1.4285714285714286,-1.4285714285714286,89.2125,4.050000000000011,91.60317460317461,5.6746031746031775
neg,0.8,8,4903,0.0,0.0,1.4285714285714286,-1.4285714285714286,81.75,-3.4124999999999943,91.56666666666666,5.638095238095232
neg,1.5,0,3131,0.0,0.0,1.4285714285714286,-1.4285714285714286,87.8125,2.6500000000000057,91.50847457627118,5.579903147699753
neg,1.2,3,17587,0.0,0.0,1.4285714285714286,-1.4285714285714286,88.4375,3.2750000000000057,91.47945205479452,5.5508806262230905
neg,0.8,6,9051,2.7777777777777777,4.811252243246881,1.4285714285714286,1.349206349206349,78.2625,-6.8999999999999915,80.9054054054054,-5.023166023166027
neg,0.8,10,16925,1.3888888888888888,3.67465459870082,1.4285714285714286,-0.039682539682539764,85.8875,0.7250000000000085,90.81944444444444,4.890873015873012
neg,1.2,10,16925,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.675,-2.487499999999997,90.74025974025975,4.8116883116883145
pos,2.0,2,5621,0.0,0.0,0.0,0.0,72.1,-17.85000000000001,88.92405063291139,-4.488449367088606
neg,1.5,10,16925,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.125,-3.0374999999999943,90.3974358974359,4.468864468864467
neg,1.2,20,13228,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.0,-3.1624999999999943,90.39240506329114,4.463833634719705
neg,0.8,13,7594,0.0,0.0,1.4285714285714286,-1.4285714285714286,87.375,2.2125000000000057,90.35897435897436,4.430402930402934
neg,1.2,2,5621,1.5625,4.133986423538423,1.4285714285714286,0.1339285714285714,87.0,1.8375000000000057,90.25,4.321428571428569
neg,1.5,3,17587,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,88.375,3.2125000000000057,90.23076923076923,4.302197802197796
neg,1.2,26,8029,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,73.9375,-11.224999999999994,81.65,-4.278571428571425
neg,2.0,5,16434,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.975,-2.1875,90.2,4.271428571428572
neg,2.0,12,13502,0.0,0.0,1.4285714285714286,-1.4285714285714286,87.6875,2.5250000000000057,90.18840579710145,4.259834368530022
neg,0.8,15,12357,0.0,0.0,1.4285714285714286,-1.4285714285714286,84.95,-0.21249999999999147,90.15384615384616,4.22527472527473
neg,1.5,17,20268,0.0,0.0,1.4285714285714286,-1.4285714285714286,85.05,-0.11249999999999716,90.1159420289855,4.18737060041407
neg,1.2,0,3131,0.0,0.0,1.4285714285714286,-1.4285714285714286,85.65,0.48750000000001137,90.1,4.171428571428564
neg,1.5,5,16434,0.0,0.0,1.4285714285714286,-1.4285714285714286,86.9125,1.75,89.77333333333333,3.8447619047618957
neg,0.8,4,18720,1.3888888888888888,3.67465459870082,1.4285714285714286,-0.039682539682539764,86.55,1.3875000000000028,89.74025974025975,3.8116883116883145
pos,2.0,10,16925,0.0,0.0,0.0,0.0,86.1125,-3.8375000000000057,89.625,-3.7874999999999943
neg,0.8,20,13228,0.0,0.0,1.4285714285714286,-1.4285714285714286,87.325,2.1625000000000085,89.7125,3.783928571428575
pos,2.0,16,19580,0.0,0.0,0.0,0.0,72.45,-17.5,89.70588235294117,-3.7066176470588204
neg,0.8,5,16434,0.0,0.0,1.4285714285714286,-1.4285714285714286,85.4625,0.30000000000001137,89.58904109589041,3.660469667318978
neg,0.8,22,2938,0.0,0.0,1.4285714285714286,-1.4285714285714286,85.55,0.38750000000000284,89.51898734177215,3.590415913200715
pos,1.5,24,12592,0.0,0.0,0.0,0.0,81.15,-8.799999999999997,89.8875,-3.5249999999999915
neg,1.2,13,7594,0.0,0.0,1.4285714285714286,-1.4285714285714286,80.475,-4.6875,89.34177215189874,3.413200723327307
pos,1.5,18,17562,0.0,0.0,0.0,0.0,76.325,-13.625,90.075,-3.3374999999999915
neg,0.8,1,3080,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,85.0125,-0.14999999999999147,89.21428571428571,3.2857142857142776
pos,1.5,27,9446,0.0,0.0,0.0,0.0,78.4,-11.549999999999997,90.1375,-3.2749999999999915
neg,1.2,12,13502,0.0,0.0,1.4285714285714286,-1.4285714285714286,86.7375,1.5750000000000028,89.13698630136986,3.2084148727984285
pos,1.5,26,8029,0.0,0.0,0.0,0.0,86.0625,-3.887500000000003,90.31645569620254,-3.0960443037974557
neg,0.8,29,1426,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.425,-2.737499999999997,88.94202898550725,3.013457556935819
neg,1.2,11,11752,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,88.8,3.637500000000003,88.92405063291139,2.995479204339958
neg,1.5,1,3080,0.0,0.0,1.4285714285714286,-1.4285714285714286,86.2875,1.125,88.91025641025641,2.981684981684978
neg,1.5,12,13502,0.0,0.0,1.4285714285714286,-1.4285714285714286,86.6125,1.4500000000000028,88.80597014925372,2.8773987206822937
neg,0.8,26,8029,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,84.125,-1.0374999999999943,88.64935064935065,2.720779220779221
neg,0.8,12,13502,0.0,0.0,1.4285714285714286,-1.4285714285714286,85.375,0.21250000000000568,88.6470588235294,2.7184873949579753
neg,1.2,22,2938,2.7777777777777777,7.34930919740164,1.4285714285714286,1.349206349206349,75.725,-9.4375,83.24050632911393,-2.6880650994575035
neg,1.2,25,2184,0.0,0.0,1.4285714285714286,-1.4285714285714286,68.2625,-16.89999999999999,83.26582278481013,-2.6627486437613044
pos,1.5,10,16925,0.0,0.0,0.0,0.0,87.7625,-2.1875,90.7625,-2.6499999999999915
neg,1.2,8,4903,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.7375,-2.424999999999997,88.49253731343283,2.5639658848614033
pos,2.0,23,18923,0.0,0.0,0.0,0.0,79.225,-10.725000000000009,90.85,-2.5625
neg,1.5,8,4903,2.0833333333333335,5.51198189805123,1.4285714285714286,0.6547619047619049,81.0875,-4.074999999999989,88.47826086956522,2.549689440993788
neg,0.8,25,2184,0.0,0.0,1.4285714285714286,-1.4285714285714286,86.175,1.0125000000000028,88.42307692307692,2.494505494505489
neg,1.2,15,12357,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.4125,-2.75,88.41891891891892,2.4903474903474887
pos,2.0,13,7594,0.0,0.0,0.0,0.0,82.45,-7.5,90.97435897435898,-2.4381410256410163
neg,1.5,7,16911,5.138888888888889,5.150137838260877,1.4285714285714286,3.7103174603174605,81.125,-4.037499999999994,83.55128205128206,-2.3772893772893724
pos,2.0,19,4671,0.0,0.0,0.0,0.0,81.425,-8.525000000000006,91.05,-2.362499999999997
neg,1.2,29,1426,0.0,0.0,1.4285714285714286,-1.4285714285714286,84.025,-1.1374999999999886,88.27397260273973,2.345401174168302
pos,2.0,29,1426,0.0,0.0,0.0,0.0,84.325,-5.625,91.15,-2.2624999999999886
pos,2.0,7,16911,0.0,0.0,0.0,0.0,86.025,-3.924999999999997,91.1625,-2.25
neg,1.5,29,1426,0.0,0.0,1.4285714285714286,-1.4285714285714286,80.875,-4.287499999999994,88.15789473684211,2.229323308270679
neg,1.2,27,9446,0.0,0.0,1.4285714285714286,-1.4285714285714286,76.2375,-8.924999999999997,83.76315789473684,-2.1654135338345952
neg,0.8,19,4671,2.5,4.330127018922194,1.4285714285714286,1.0714285714285714,83.4375,-1.7249999999999943,88.09210526315789,2.1635338345864596
neg,1.2,19,4671,0.0,0.0,1.4285714285714286,-1.4285714285714286,79.7125,-5.449999999999989,87.98701298701299,2.058441558441558
pos,1.2,14,4828,0.0,0.0,0.0,0.0,85.0375,-4.9125000000000085,91.43478260869566,-1.9777173913043384
neg,1.2,28,13664,2.8125,4.911323014219285,1.4285714285714286,1.3839285714285714,79.8,-5.362499999999997,83.96103896103897,-1.9675324675324646
pos,1.2,26,8029,0.0,0.0,0.0,0.0,86.75,-3.200000000000003,91.45569620253164,-1.9568037974683534
neg,2.0,3,17587,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,84.7625,-0.3999999999999915,87.85714285714286,1.9285714285714306
neg,1.2,5,16434,0.0,0.0,1.4285714285714286,-1.4285714285714286,84.4375,-0.7249999999999943,87.83116883116882,1.9025974025973937
neg,0.8,24,12592,0.0,0.0,1.4285714285714286,-1.4285714285714286,82.75,-2.4124999999999943,87.77142857142857,1.8428571428571416
pos,2.0,20,13228,0.0,0.0,0.0,0.0,81.325,-8.625,91.59740259740259,-1.8150974025974023
neg,2.0,11,11752,2.5,4.330127018922194,1.4285714285714286,1.0714285714285714,88.35,3.1875,87.69620253164557,1.7676311030741374
neg,2.0,1,3080,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,83.775,-1.3874999999999886,87.67532467532467,1.7467532467532436
pos,2.0,15,12357,0.0,0.0,0.0,0.0,86.7625,-3.1875,91.68,-1.7324999999999875
pos,1.5,29,1426,0.0,0.0,0.0,0.0,87.775,-2.174999999999997,91.6875,-1.7249999999999943
neg,1.2,18,17562,5.625,9.82264602843857,1.4285714285714286,4.196428571428571,82.6875,-2.4749999999999943,84.2051282051282,-1.7234432234432262
neg,2.0,29,1426,0.0,0.0,1.4285714285714286,-1.4285714285714286,78.9375,-6.224999999999994,84.21518987341773,-1.7133815551537026
pos,1.5,28,13664,0.0,0.0,0.0,0.0,83.075,-6.875,91.775,-1.6374999999999886
neg,0.8,2,5621,1.7857142857142858,4.72455591261534,1.4285714285714286,0.3571428571428572,88.05,2.887500000000003,87.56,1.6314285714285717
pos,1.5,19,4671,0.0,0.0,0.0,0.0,86.5875,-3.362499999999997,91.7875,-1.625
pos,2.0,25,2184,0.0,0.0,0.0,0.0,86.625,-3.325000000000003,91.84931506849315,-1.5631849315068393
neg,0.8,17,20268,1.3888888888888888,3.67465459870082,1.4285714285714286,-0.039682539682539764,86.475,1.3125,87.32876712328768,1.4001956947162455
neg,0.8,28,13664,0.0,0.0,1.4285714285714286,-1.4285714285714286,80.4625,-4.699999999999989,87.27142857142857,1.3428571428571416
pos,1.2,18,17562,0.0,0.0,0.0,0.0,86.9125,-3.0375000000000085,92.075,-1.3374999999999915
neg,2.0,10,16925,0.0,0.0,1.4285714285714286,-1.4285714285714286,67.3625,-17.799999999999997,84.625,-1.3035714285714306
neg,0.8,14,4828,2.0833333333333335,5.51198189805123,1.4285714285714286,0.6547619047619049,75.6125,-9.549999999999997,84.6268656716418,-1.3017057569296355
pos,2.0,3,17587,0.0,0.0,0.0,0.0,87.65,-2.299999999999997,92.1625,-1.25
pos,1.2,4,18720,0.0,0.0,0.0,0.0,89.4875,-0.4625000000000057,92.175,-1.2374999999999972
neg,0.8,27,9446,0.0,0.0,1.4285714285714286,-1.4285714285714286,83.175,-1.9874999999999972,87.10526315789474,1.1766917293233092
pos,2.0,6,9051,0.0,0.0,0.0,0.0,85.35,-4.6000000000000085,92.27848101265823,-1.1340189873417614
neg,1.5,19,4671,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,76.675,-8.487499999999997,86.9873417721519,1.0587703435804627
pos,1.5,13,7594,0.0,0.0,0.0,0.0,88.775,-1.1749999999999972,92.41025641025641,-1.0022435897435855
pos,1.5,4,18720,0.0,0.0,0.0,0.0,90.1125,0.16249999999999432,92.4375,-0.9749999999999943
neg,0.8,3,17587,1.3888888888888888,3.67465459870082,1.4285714285714286,-0.039682539682539764,85.8125,0.6500000000000057,86.8970588235294,0.9684873949579753
pos,1.2,27,9446,0.0,0.0,0.0,0.0,84.575,-5.375,92.45,-0.9624999999999915
neg,0.8,21,11256,0.0,0.0,1.4285714285714286,-1.4285714285714286,81.625,-3.5374999999999943,86.87323943661971,0.9446680080482821
neg,2.0,17,20268,0.0,0.0,1.4285714285714286,-1.4285714285714286,81.15,-4.012499999999989,86.86764705882354,0.9390756302521055
pos,1.2,24,12592,0.0,0.0,0.0,0.0,85.8,-4.150000000000006,92.475,-0.9375
neg,0.8,18,17562,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,84.825,-0.3374999999999915,85.01428571428572,-0.914285714285711
neg,1.2,9,216,1.3888888888888888,3.67465459870082,1.4285714285714286,-0.039682539682539764,77.0375,-8.125,86.8076923076923,0.879120879120876
pos,1.5,7,16911,0.0,0.0,0.0,0.0,89.275,-0.6749999999999972,92.5375,-0.875
neg,1.2,7,16911,2.7777777777777777,4.811252243246881,1.4285714285714286,1.349206349206349,81.1375,-4.0249999999999915,85.06493506493507,-0.8636363636363598
neg,0.8,0,3131,2.0833333333333335,5.51198189805123,1.4285714285714286,0.6547619047619049,80.475,-4.6875,86.78688524590164,0.8583138173302132
pos,1.5,23,18923,0.0,0.0,0.0,0.0,87.925,-2.0250000000000057,92.59493670886076,-0.817563291139237
neg,1.5,9,216,0.0,0.0,1.4285714285714286,-1.4285714285714286,77.15,-8.012499999999989,86.7,0.7714285714285722
pos,1.2,10,16925,0.0,0.0,0.0,0.0,89.1,-0.8500000000000085,92.7,-0.7124999999999915
pos,0.8,18,17562,0.0,0.0,0.0,0.0,87.55,-2.4000000000000057,92.7375,-0.6749999999999972
pos,1.2,28,13664,0.0,0.0,0.0,0.0,87.9375,-2.012500000000003,92.75,-0.6624999999999943
pos,1.2,22,2938,0.0,0.0,0.0,0.0,89.0625,-0.8875000000000028,94.06493506493507,0.6524350649350765
pos,0.8,22,2938,0.0,0.0,0.0,0.0,91.125,1.1749999999999972,94.03846153846153,0.6259615384615387
pos,1.5,6,9051,0.0,0.0,0.0,0.0,89.4,-0.5499999999999972,92.79220779220779,-0.620292207792204
neg,0.8,9,216,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,81.275,-3.8874999999999886,85.32051282051282,-0.608058608058613
pos,1.2,13,7594,0.0,0.0,0.0,0.0,88.325,-1.625,92.85,-0.5625
pos,1.2,3,17587,0.0,0.0,0.0,0.0,88.325,-1.625,92.8625,-0.5499999999999972
pos,1.2,6,9051,0.0,0.0,0.0,0.0,89.5,-0.45000000000000284,92.875,-0.5374999999999943
neg,1.5,20,13228,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,77.1625,-8.0,86.46153846153847,0.5329670329670364
pos,1.2,11,11752,0.0,0.0,0.0,0.0,89.2375,-0.7125000000000057,93.9375,0.5250000000000057
pos,1.2,29,1426,0.0,0.0,0.0,0.0,89.9125,-0.037500000000008527,92.9,-0.5124999999999886
neg,0.8,11,11752,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,85.875,0.7125000000000057,86.42857142857143,0.5
pos,1.2,15,12357,0.0,0.0,0.0,0.0,92.0875,2.137500000000003,93.9125,0.5
pos,1.2,23,18923,0.0,0.0,0.0,0.0,88.625,-1.3250000000000028,92.9125,-0.5
pos,2.0,8,4903,0.0,0.0,0.0,0.0,90.975,1.0249999999999915,92.9125,-0.5
neg,1.2,4,18720,1.3888888888888888,3.67465459870082,1.4285714285714286,-0.039682539682539764,78.9625,-6.199999999999989,86.42307692307692,0.4945054945054892
neg,2.0,8,4903,0.0,0.0,1.4285714285714286,-1.4285714285714286,81.95,-3.2124999999999915,86.42105263157895,0.4924812030075145
pos,0.8,11,11752,0.0,0.0,0.0,0.0,88.5625,-1.3875000000000028,93.9,0.48750000000001137
pos,1.2,0,3131,0.0,0.0,0.0,0.0,88.8,-1.1500000000000057,92.95,-0.4624999999999915
pos,0.8,4,18720,0.0,0.0,0.0,0.0,89.125,-0.8250000000000028,92.975,-0.4375
pos,1.5,17,20268,0.0,0.0,0.0,0.0,89.7,-0.25,93.83544303797468,0.42294303797469013
pos,0.8,17,20268,0.0,0.0,0.0,0.0,90.25,0.29999999999999716,93.825,0.4125000000000085
pos,0.8,14,4828,0.0,0.0,0.0,0.0,87.475,-2.4750000000000085,93.0,-0.4124999999999943
pos,2.0,17,20268,0.0,0.0,0.0,0.0,88.4875,-1.4625000000000057,93.0,-0.4124999999999943
pos,2.0,22,2938,0.0,0.0,0.0,0.0,82.75,-7.200000000000003,93.01694915254237,-0.3955508474576277
neg,1.2,1,3080,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,85.3625,0.20000000000000284,86.31645569620254,0.38788426763110806
neg,1.5,11,11752,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,85.8,0.6375000000000028,85.55128205128206,-0.3772893772893724
pos,1.5,25,2184,0.0,0.0,0.0,0.0,89.075,-0.875,93.05263157894737,-0.3598684210526244
pos,0.8,20,13228,0.0,0.0,0.0,0.0,89.5125,-0.4375,93.75,0.3375000000000057
pos,0.8,0,3131,0.0,0.0,0.0,0.0,88.5,-1.4500000000000028,93.73417721518987,0.32167721518987946
pos,0.8,15,12357,0.0,0.0,0.0,0.0,90.95,1.0,93.10126582278481,-0.31123417721518365
pos,1.2,7,16911,0.0,0.0,0.0,0.0,90.9625,1.0125000000000028,93.7,0.2875000000000085
pos,1.2,16,19580,0.0,0.0,0.0,0.0,90.55,0.5999999999999943,93.13698630136986,-0.2755136986301352
pos,1.2,19,4671,0.0,0.0,0.0,0.0,88.9,-1.0499999999999972,93.1375,-0.2749999999999915
neg,0.8,7,16911,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,86.875,1.7125000000000057,85.66233766233766,-0.2662337662337677
pos,1.5,9,216,0.0,0.0,0.0,0.0,90.8375,0.8875000000000028,93.675,0.26250000000000284
pos,0.8,6,9051,0.0,0.0,0.0,0.0,89.35,-0.6000000000000085,93.6625,0.25
pos,1.2,12,13502,0.0,0.0,0.0,0.0,88.375,-1.5750000000000028,93.6625,0.25
pos,2.0,0,3131,0.0,0.0,0.0,0.0,88.925,-1.0250000000000057,93.1625,-0.25
pos,2.0,9,216,0.0,0.0,0.0,0.0,89.8875,-0.0625,93.1625,-0.25
pos,0.8,1,3080,0.0,0.0,0.0,0.0,89.525,-0.42499999999999716,93.65,0.23750000000001137
pos,1.5,2,5621,0.0,0.0,0.0,0.0,87.125,-2.825000000000003,93.175,-0.23749999999999716
pos,0.8,9,216,0.0,0.0,0.0,0.0,90.5,0.5499999999999972,93.6375,0.22500000000000853
pos,0.8,23,18923,0.0,0.0,0.0,0.0,87.65,-2.299999999999997,93.1875,-0.22499999999999432
pos,0.8,13,7594,0.0,0.0,0.0,0.0,89.425,-0.5250000000000057,93.18987341772151,-0.22262658227847965
pos,0.8,2,5621,0.0,0.0,0.0,0.0,88.4,-1.5499999999999972,93.63291139240506,0.2204113924050688
neg,1.5,15,12357,0.0,0.0,1.4285714285714286,-1.4285714285714286,76.4375,-8.724999999999994,86.13333333333334,0.20476190476190936
neg,1.2,16,19580,0.0,0.0,1.4285714285714286,-1.4285714285714286,72.525,-12.637499999999989,85.725,-0.20357142857143629
pos,0.8,7,16911,0.0,0.0,0.0,0.0,89.2875,-0.6625000000000085,93.6125,0.20000000000000284
neg,0.8,16,19580,2.8125,4.911323014219285,1.4285714285714286,1.3839285714285714,79.8125,-5.349999999999994,85.73684210526316,-0.19172932330826598
pos,1.5,22,2938,0.0,0.0,0.0,0.0,89.075,-0.875,93.6029411764706,0.19044117647059977
neg,1.5,2,5621,2.380952380952381,5.832118435198042,1.4285714285714286,0.9523809523809523,74.175,-10.987499999999997,86.10526315789474,0.17669172932330923
pos,1.5,16,19580,0.0,0.0,0.0,0.0,85.1125,-4.837500000000006,93.24561403508773,-0.16688596491226804
pos,1.5,15,12357,0.0,0.0,0.0,0.0,90.0,0.04999999999999716,93.57692307692308,0.1644230769230859
pos,1.5,5,16434,0.0,0.0,0.0,0.0,89.625,-0.32500000000000284,93.575,0.16250000000000853
pos,0.8,10,16925,0.0,0.0,0.0,0.0,88.6875,-1.2625000000000028,93.25,-0.16249999999999432
pos,0.8,27,9446,0.0,0.0,0.0,0.0,89.4375,-0.5125000000000028,93.5625,0.15000000000000568
neg,1.2,17,20268,2.638888888888889,4.579122644954038,1.4285714285714286,1.2103174603174602,84.4,-0.7624999999999886,85.78873239436619,-0.13983903420523802
pos,2.0,5,16434,0.0,0.0,0.0,0.0,90.525,0.5750000000000028,93.55,0.13750000000000284
pos,2.0,12,13502,0.0,0.0,0.0,0.0,88.9625,-0.9874999999999972,93.275,-0.13749999999998863
pos,2.0,1,3080,0.0,0.0,0.0,0.0,90.425,0.4749999999999943,93.27848101265823,-0.13401898734176143
pos,2.0,11,11752,0.0,0.0,0.0,0.0,87.95,-2.0,93.27848101265823,-0.13401898734176143
pos,0.8,8,4903,0.0,0.0,0.0,0.0,89.5875,-0.36249999999999716,93.5375,0.125
pos,1.2,25,2184,0.0,0.0,0.0,0.0,89.325,-0.625,93.2875,-0.125
pos,0.8,12,13502,0.0,0.0,0.0,0.0,87.9375,-2.012500000000003,93.525,0.11250000000001137
pos,1.2,8,4903,0.0,0.0,0.0,0.0,90.25,0.29999999999999716,93.525,0.11250000000001137
pos,0.8,21,11256,0.0,0.0,0.0,0.0,89.5875,-0.36249999999999716,93.3,-0.11249999999999716
