prior,ln_or,seed,x_target,O_MO_at_matched_narrow,sat_null_O_MO,excess,tilted_O_MO,lambda,O_p_next_S_M_at_matched
corr-strong,1.4494732627414222,0,0.5,0.022810409698996656,0.0005425347222222222,0.022267874976774432,0.21275756257405212,0.10493071674604508,0.012364275759727598
corr-strong,1.4494732627414222,0,0.75,0.16675531914893618,0.0005425347222222222,0.16621278442671397,0.49333618022285136,0.33728678513672466,0.25911205605148
corr-strong,1.4494732627414222,0,0.85,0.2829255319148936,0.0005425347222222222,0.2823829971926714,0.7098286308616434,0.39812284313714313,0.47274777502614135
corr-strong,1.4494732627414222,1,0.25,0.009438759039256199,0.0005425347222222222,0.008896224317033977,0.07618448320129108,0.11760966627526367,0.011171444869515539
corr-strong,1.4494732627414222,1,0.5,0.13431854521992817,0.0005425347222222222,0.13377601049770596,0.21275756257405212,0.6303795346251791,0.09564651011805342
corr-strong,1.4494732627414222,1,0.75,0.35379789890035906,0.0005425347222222222,0.35325536417813685,0.49333618022285136,0.7168423688159872,0.2328909084508513
corr-strong,1.4494732627414222,1,0.85,0.4415896403725314,0.0005425347222222222,0.4410471056503092,0.7098286308616434,0.6218183438966137,0.28778866778397044
corr-strong,1.4494732627414222,2,0.25,0.031221417682926828,0.0005425347222222222,0.030678882960704604,0.07618448320129108,0.405580284188394,0.03962928099478246
corr-strong,1.4494732627414222,2,0.5,0.211181640625,0.0005425347222222222,0.2106391059027778,0.21275756257405212,0.9925739380240666,0.28927471766071594
corr-strong,1.4494732627414222,2,0.75,0.398681640625,0.0005425347222222222,0.3981391059027778,0.49333618022285136,0.8079225646229837,0.5494956838606048
corr-strong,1.4494732627414222,2,0.85,0.4846159904233871,0.0005425347222222222,0.4840734557011649,0.7098286308616434,0.6824798319548798,0.6746291896027903
